image_path,text
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\370.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\371.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\372.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\373.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\374.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\375.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\376.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\377.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\378.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\379.jpg,b = a ^ { 2 } + c ^ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\380.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\381.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\382.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\383.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\384.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\385.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\386.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\387.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\388.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\389.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\390.jpg,n ^ { 2 } - n + 4 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\391.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\392.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\393.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\394.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\395.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\396.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\397.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\398.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\399.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\400.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\401.jpg,n ^ { \log _ { 2 } ( 3 ) }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\402.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\403.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\404.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\405.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\406.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\407.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\408.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\409.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\410.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\411.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\412.jpg,4 2 - 8 5 - 1 8 \geq - 2 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\413.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\414.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\415.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\416.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\417.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\418.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\419.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\420.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\421.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\422.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\423.jpg,x ^ { 2 } \frac { d ^ { 2 } y } { d x ^ { 2 } } - 3 x \frac { d y } { d x } + y = \frac { \log x \cdot \sin { \log x } + 1 } { x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\424.jpg,Y = g ( X ) = \frac { 1 } { X }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\425.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\426.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\427.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\428.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\429.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\430.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\431.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\432.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\433.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\434.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\435.jpg,7 6 \pm ( ( 4 1 + 1 1 8 ) \times 1 2 4 ) \times 1 3 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\436.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\437.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\438.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\439.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\440.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\441.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\442.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\443.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\444.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\445.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\446.jpg,a x ^ { 2 } + 2 b x + c = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\447.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\448.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\449.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\450.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\451.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\452.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\453.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\454.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\455.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\456.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\457.jpg,\gamma = 1 + \frac { 1 } { n }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\458.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\459.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\460.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\461.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\462.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\463.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\464.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\465.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\466.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\467.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\468.jpg,9 4 + 7 4 + 6 + 1 3 8 > 2 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\469.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\470.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\471.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\472.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\473.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\474.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\475.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\476.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\477.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\478.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\479.jpg,x ^ { 3 } + 3 x ^ { 2 } \sqrt { 3 } - 3 x - \sqrt { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\480.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\481.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\482.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\483.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\484.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\485.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\486.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\487.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\488.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\489.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\490.jpg,( 2 9 - 2 4 + 1 6 9 ) \times 8 8 \leq - 1 4 4 3 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\491.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\492.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\493.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\494.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\495.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\496.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\497.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\498.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\499.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\500.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\501.jpg,y _ { 1 } ( x ) = x ^ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\502.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\503.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\504.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\505.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\506.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\507.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\508.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\509.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\510.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\511.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\512.jpg,8 9 \times ( ( 1 5 5 \times 5 0 ) \div 1 3 2 ) \neq - 1 3 7 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\513.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\514.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\515.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\516.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\517.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\518.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\519.jpg,[ b ^ { x } \{ ( \frac a b ) ^ { x } + 1 \} ] ^ { \frac 1 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\520.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\521.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\522.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\523.jpg,\sin ( n x )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\524.jpg,\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\525.jpg,\log _ { 2 } \frac 1 2 + \log _ { 4 } \frac 2 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\526.jpg,\frac 2 { \frac { 3 m - 2 n \times 9 ^ { n } - 9 ^ { m } } { 2 n - 1 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\527.jpg,[ \frac 2 3 x ^ { \frac 3 2 } ] _ { 0 } ^ { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\528.jpg,\int _ { \log 3 } ^ { 0 } \frac 1 { e ^ { t } + 1 } d t
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\529.jpg,\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\530.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt 4 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\531.jpg,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\532.jpg,x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\533.jpg,z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
